                *** LIST OF THE CELLULAR FREQUENCIES ***

        Cellular phones operate on a full duplex channel.  One frequency is
used for transmission from the base to the phone, while another is used for
transmission from the phone to the base.  The base frequencies are always
exactly 45 MHZ higher than the phone frequency, and both of these are
incremented by 30 KHZ as the progression of channels increases from  Channel
#1 to Chanel #1023 (NOTE: There are no channels between 800 and 990).

        With some systems (not all) the cellular transmission is received by
the base and retransmitted on the base frequency.  When this is done, a 
scanner can listen to both sides of the conversation by simply monitoring the
base frequency.  When this is not the case, two scanners set 45 MHZ apart
will work.

        Here is a list of all Cellular Frequencies:


Channel    Tx Freq    Rx Freq             Channel   Tx Freq    Rx Freq    
Number       Mhz        Mhz               Number      Mhz        Mhz        

      1     870.03     825.03               334     880.02     835.02  
      2     870.06     825.06               335     880.05     835.05  
      3     870.09     825.09               336     880.08     835.08  
      4     870.12     825.12               337     880.11     835.11  
      5     870.15     825.15               338     880.14     835.14  
      6     870.18     825.18               339     880.17     835.17  
      7     870.21     825.21               340     880.20     835.20  
      8     870.24     825.24               341     880.23     835.23  
      9     870.27     825.27               342     880.26     835.26  
     10     870.30     825.30               343     880.29     835.29  
     11     870.33     825.33               344     880.32     835.32  
     12     870.36     825.36               345     880.35     835.35  
     13     870.39     825.39               346     880.38     835.38  
     14     870.42     825.42               347     880.41     835.41  
     15     870.45     825.45               348     880.44     835.44  
     16     870.48     825.48               349     880.47     835.47  
     17     870.51     825.51               350     880.50     835.50  
     18     870.54     825.54               351     880.53     835.53  
     19     870.57     825.57               352     880.56     835.56  
     20     870.60     825.60               353     880.59     835.59  
     21     870.63     825.63               354     880.62     835.62  
     22     870.66     825.66               355     880.65     835.65  
     23     870.69     825.69               356     880.68     835.68  
     24     870.72     825.72               357     880.71     835.71  
     25     870.75     825.75               358     880.74     835.74  
     26     870.78     825.78               359     880.77     835.77  
     27     870.81     825.81               360     880.80     835.80  
     28     870.84     825.84               361     880.83     835.83  
     29     870.87     825.87               362     880.86     835.86  
     30     870.90     825.90               363     880.89     835.89  
     31     870.93     825.93               364     880.92     835.92  
     32     870.96     825.96               365     880.95     835.95  
     33     870.99     825.99               366     880.98     835.98  
